Phylum,x,y
Actinobacteria,54.0169,20.5236
Firmicutes,52.8762,-13.9542
Firmicutes,41.3646,-63.0174
Firmicutes,22.9205,15.8561
Firmicutes,12.103,76.3519
Actinobacteria,-10.6346,-65.1738
Proteobacteria,-0.965647,-49.5099
Proteobacteria,-34.8136,-43.0009
Firmicutes,44.457,-66.7052
Firmicutes,52.0372,-6.0511
Bacteroidetes,-31.8258,-19.3973
Actinobacteria,-87.063,31.2477
Firmicutes,41.3706,-63.0227
Firmicutes,52.583,-6.64139
Proteobacteria,-7.81932,-0.695524
Proteobacteria,-34.8124,-43.001
Proteobacteria,-0.90503,-49.3607
Firmicutes,44.6292,-66.7778
Bacteroidetes,-11.556,84.8795
Firmicutes,22.8047,-78.8153
Proteobacteria,-7.81932,-0.695524
Firmicutes,-63.9751,-0.566267
Actinobacteria,-11.0442,-65.4654
Bacteroidetes,-1.71354,26.7053
Bacteroidetes,7.67501,-0.115987
Firmicutes,42.2438,26.2432
Firmicutes,-62.616,30.8473
Actinobacteria,74.4918,-16.6657
Firmicutes,-42.0326,-27.4416
Bacteroidetes,-71.7422,-6.26597
Firmicutes,-15.1774,30.3265
Firmicutes,34.5133,-38.0329
Firmicutes,-27.6879,54.3611
Firmicutes,-10.4906,-48.5941
Firmicutes,-5.50008,-67.0126
Proteobacteria,-34.466,-40.5526
Bacteroidetes,-80.667,25.4259
Firmicutes,-21.2097,-26.1548
Firmicutes,-64.6877,-33.4919
Bacteroidetes,-66.2956,-53.7628
Firmicutes,71.097,37.7402
Firmicutes,-24.2982,19.1709
Bacteroidetes,-29.4121,-34.2228
Actinobacteria,-22.8727,-6.52226
Firmicutes,15.801,-59.1914
Bacteroidetes,52.4496,-27.5543
Firmicutes,-20.2578,-60.229
Bacteroidetes,18.4481,39.3954
Firmicutes,38.9645,-10.4021
Bacteroidetes,-20.0254,-86.0716
Firmicutes,-15.365,-7.80166
Firmicutes,71.1245,-42.3606
Firmicutes,13.2852,-50.0975
Firmicutes,29.6971,5.56571
Firmicutes,-90.4678,-4.4842
Bacteroidetes,-11.4049,88.86
Bacteroidetes,-70.6511,22.9614
Firmicutes,25.8895,-6.88327
Bacteroidetes,-28.7372,-34.3533
Firmicutes,-58.6218,21.6535
Firmicutes,-20.4588,-60.5268
Firmicutes,0.334712,58.4555
Firmicutes,-64.5509,31.0553
Bacteroidetes,18.99,39.3923
Firmicutes,35.0537,-41.3882
Bacteroidetes,49.8129,-20.64
Firmicutes,51.936,-6.92897
Verrucomicrobia,-80.0496,5.73885
Firmicutes,41.4274,-0.905772
Firmicutes,21.2148,-60.4762
Actinobacteria,3.92634,54.6796
Firmicutes,16.6209,44.2968
Bacteroidetes,4.97982,1.36573
Firmicutes,-22.563,-23.1666
Firmicutes,-42.2502,-58.3134
Proteobacteria,-0.157482,-52.1029
Firmicutes,51.7704,-5.96061
Firmicutes,-64.6659,30.9429
Proteobacteria,-4.57707,1.82314
Firmicutes,-53.7644,-45.2944
Bacteroidetes,24.1335,-9.45146
Proteobacteria,-34.4683,-40.1686
Firmicutes,-27.178,3.29962
Bacteroidetes,-28.0398,-38.5016
Firmicutes,23.3878,-77.8337
Firmicutes,-43.8662,-0.941731
Firmicutes,48.6872,0.671767
Firmicutes,61.2755,-3.80558
Firmicutes,-64.4988,-12.4576
Actinobacteria,45.0741,-38.6086
Firmicutes,52.1224,-5.55604
Actinobacteria,-11.6509,-62.6994
Bacteroidetes,-24.9749,-33.2041
Firmicutes,32.9849,-68.7801
Proteobacteria,-4.50238,1.94712
Bacteroidetes,48.9352,-21.7324
Proteobacteria,-34.4791,-40.2739
Actinobacteria,53.043,17.1499
Verrucomicrobia,-71.5022,8.89956
Firmicutes,57.1484,-16.4351
